paired_characters,values,,,,,,,,,,,,,,,,,,,,,,,,,,,Paired+O:W Values,,,,,,,,,
Spicy-Nutty,-0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Spicy-Body-Floral,,,,,,,,,
Spicy-Malty,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Spicy-Sweetness-Smoky,,,,,,,,,
Spicy-Fruity,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Winey-Body-Nutty,,,,,,,,,
Spicy-Floral,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Winey-Body-Malty,,,,,,,,,
Winey-Nutty,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Winey-Body-Fruity,,,,,,,,,
Winey-Malty,0.153,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Winey-Body-Floral,,,,,,,,,
Winey-Fruity,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Winey-Sweetness-Smoky,,,,,,,,,
Winey-Floral,-0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Nutty-Body-Malty,,,,,,,,,
Nutty-Malty,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Nutty-Body-Fruity,,,,,,,,,
Nutty-Fruity,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Nutty-Body-Floral,,,,,,,,,
Nutty-Floral,-0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Nutty-Sweetness-Smoky,,,,,,,,,
Malty-Fruity,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Malty-Body-Fruity,,,,,,,,,
Malty-Floral,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Malty-Body-Floral,,,,,,,,,
Fruity-Floral,0.263,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Malty-Sweetness-Smoky,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Fruity-Body-Floral,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Fruity-Sweetness-Smoky,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Floral-Sweetness-Smoky,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Body-Floral-Sweetness-Medicinal,,,,,,,,,
